chartName,category,img,avail,description
barcode,Distribution,barcode.svg,FALSE,"Like dot strip plots, good for displaying all the data in a table,they work best when highlighting individual values."
cumulative-curve,Distribution,cumulative-curve.svg,FALSE,"A good way of showing how unequal a distribution is: y axis is always cumulative frequency, x axis is always a measure."
column-stacked,Part to whole,column-stacked.svg,TRUE,"부분 대 전체 관계를 보여주는 간단한 방법이지만 구성 요소가 많으면 읽기 어려울 수 있습니다."
bar-stacked-proportional,Part to whole,bar-stacked-proportional.svg,TRUE,"너무 복잡하지 않은 데이터의 크기와 비율을 동시에 표시하는 좋은 방법입니다."
pie,Part to whole,pie.svg,TRUE,"부분 대 전체 데이터를 표시하는 일반적인 방법이지만 부분의 크기를 정확하게 비교하는 것은 어렵다는 것을 알고 사용해야합니다."
doughnut,Part to whole,doughnut.svg,TRUE,"pie 차트와 비슷하지만 중심을 데이터(예 : 총계)에 대한 정보를 포함 할 수있는 공간으로 활용하는 데 좋은 방법 일 수 있습니다."
treemap,Part to whole,treemap.svg,TRUE,"전체 관계들을 계층적으로 시각화하는 방법, 많은 작은 부분이 있을 때 읽기가 어려울 수 있습니다."
Voronoi,Part to whole,voronoi.svg,FALSE,"지점들을 지역으로 변환하는 방법 - 그 지역 내 어느 지점이라도 다른 어떤 지점보다 중심점에 가깝다"
sunburst,Part to whole,sunburst.svg,FALSE,"전체 관계들을 계층적으로 시각화하는 또 다른 방법. 확실한 이유가 있는 경우에 사용하십시오."
arc,Part to whole,arc.svg,FALSE,"반원형, 정치적 결과를 시각화하기 위해 종종 사용합니다."
gridplot,Part to whole,gridplot.svg,FALSE,"% 정보를 표시하는 데 적합하며 정수를 사용하고 여러 레이아웃 형식으로 작업할 때 좋은 방법입니다."
Venn,Part to whole,venn.svg,FALSE,"일반적으로 회로도를 표현하는 경우 사용됩니다."
Waterfall,Part to whole,waterfall.svg,TRUE,"일부 구성 요소가 부정적 인 경우 - 전체 관계를 표시하는 데 유용 할 수 있습니다."
Column,Magnitude,column-magnitude.svg,TRUE,The standard way to compare the size of things. Must always start at 0 on the axis
Bar,Magnitude,bar-magnitude.svg,TRUE,The standard way to compare the size of things. Must always start at 0 on the axis. Good when the data are not time series and labels have long category names
column-grouped,Magnitude,column-grouped.svg,TRUE,As per standard column but allows for multiple series. Can become tricky to read with more than 2 series
bar-grouped,Magnitude,bar-grouped-magnitude.svg,TRUE,As per standard bar but allows for multiple series. Can become tricky to read with more than 2 series
bar-stacked-proportional,Magnitude,bar-stacked-proportional-magnitude.svg,TRUE,A good way of showing the size and proportion of data at the same time - as long as the data are not too complicated
symbol-proportional,Magnitude,symbol-proportional.svg,FALSE,Use when there are big variations between values and/or seeing fne differences between data is not so important
isotope (pictogram),Magnitude,isotope.svg,FALSE,Excellent solution in some instances - use only with whole numbers (do not slice off an arm to represent a decimal).
lollipop-h,Magnitude,lollipop-h-magnitude.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
lollipop-v,Magnitude,lollipop-v-magnitude.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Radar,Magnitude,radar.svg,FALSE,A space-efficient way of showing value pf multiple variables -  but make sure they are organised in a way that makes sense to reader.
Bullet,Magnitude,bullet.svg,TRUE,
Parallel coordinates,Magnitude,parallel coordinates.svg,FALSE,"An alternative to radar charts - again, the arrngement of the variables is important. Usually benefits from highlighting values"
basic-choropleth,Spatial,basic-choropleth.svg,FALSE,The standard approach for putting data on a map - should always be rates rather than totals and use a sensible base geography.
proportional-symbol,Spatial,proportional-symbol.svg,FALSE,Use for totals rather than rates  - be wary that small differences in data will be hard to see.
flow,Spatial,flow.svg,FALSE,For showing unambiguous movement across a map
contour,Spatial,contour.svg,FALSE,For showing areas of equal value on a map. Can use deviation colour schemes for showing +/- values
equalised-cartogram,Spatial,equalised-cartogram.svg,FALSE,Converting each unit on a map to a regular and equally-sized shape - good for representing voting regions with equal share.
scaled-cartogram-value,Spatial,scaled-cartogram-value.svg,FALSE,Stretching and shrinking a map so that each area is sized according to a particular value.
dot-density,Spatial,dot-density.svg,FALSE,Used to show the location of individual events/locations - make sure to annotate any patterns the reader should see.
heat-map,Spatial,heat-map.svg,FALSE,Grid-based data values mapped with an intensity colour scale. As choropleth map - but not snapped to an admin/political unit.
sankey,Flow,sankey.svg,TRUE,Shows changes in flows from one condition to at least one other; good for tracing the eventual outcome of a complex process.
waterfall,Flow,waterfall-flow.svg,TRUE,"Designed to show the sequencing of data through a flow process, typically budgets. Can include +/- components"
chord,Flow,chord.svg,FALSE,A complex but powerful diagram which can illustrate 2-way flows (and net winner) in a matrix
network,Flow,network.svg,FALSE,Used for showing the complexity and inter-connectdness of relationships of varying types.
